180,RDX,River Downs,35,1101,104200
181,REB,(T) Reber Ranch Training Track,47,1101,104200
182,REG,Regina,99,1101,104200
183,RIL,Rilito,3,1101,104200
184,RKM,Rockingham Park,29,1101,104200
185,ROS,(T) Rosehill Farm,47,1101,104200
186,RP,Remington Park,36,1101,104200
187,RPX,Remington Park,36,1101,104200
188,RUI,Ruidoso,31,1101,104200
189,RWD,Rollie White Downs,43,1101,104200
190,SA,Santa Anita,5,1101,104200
191,SAC,Sacramento,5,1101,104200
192,SAG,Sagebrush Downs,37,1101,104200
193,SAL,Salem,37,1101,104200
194,SAN,Sandown Park,99,1101,104200
195,SAR,Saratoga,32,1101,104200
196,SED,Sedalia,25,1101,104200
197,SFE,Santa Fe,31,1101,104200
198,SGX,(T) Starting Gate Training Center,9,1101,104200
199,SHX,(H) Strawberry Hill,46,1101,104200
200,SJD,San Juan Downs,31,1101,104200
201,SLR,(T) San Luis Rey Downs,5,1101,104200
202,SND,Sunflower Downs,99,1101,104200
203,SOL,Solano,5,1101,104200
204,SOP,(H) Southern Pines,33,1101,104200
205,SPT,Sportsman's Park,13,1101,104200
206,SR,Santa Rosa,5,1101,104200
207,SRX,Santa Rosa,5,1101,104200
208,STK,Stockton,5,1101,104200
209,STL,(H) St. Louis,25,1101,104200
210,STP,Stampede park,99,1101,104200
211,SUD,Sun Downs,47,1101,104200
212,SUF,Suffolk Downs,21,1101,104200
213,SUN,Sunland park,31,1101,104200
214,SWF,Sweetwater Fair,50,1101,104200
215,TAM,Tampa Bay Downs,9,1101,104200
216,TDN,Thistledown,35,1101,104200
218,TIM,Timonium,20,1101,104200
219,TP,Turfway Park,17,1101,104200
220,TPX,Turfway park,17,1101,104200
221,TRM,Trinity Meadows,43,1101,104200
222,TRY,(H) Tryon,33,1101,104200
223,TUP,Turf paradise,3,1101,104200
224,UDX,Uranium Downs,6,1101,104200
225,UNI,(H) Unionville,38,1101,104200
226,VEG,Vegreville,99,1101,104200
227,WAR,(H) Warrenton,46,1101,104200
228,WAT,Waterford Park,48,1101,104200
229,WDS,Woodlands,16,1101,104200
230,WO,Woodbine,99,1101,104200
231,WOC,(T) Woods Creek,47,1101,104200
232,WOX,Woodbine,99,1101,104200
233,WRD,Will Rogers Downs,36,1101,104200
234,WRP,(T) Wraparound Training Center,18,1101,104200
235,WYO,Wyoming Downs,50,1101,104200
236,YM,Yakima Meadows,47,1101,104200
NULL,NULL,NULL,NULL,NULL,NULL
